prediction,acc_failed,acc_passed,bal_acc,f1,recall,tn,fp,fn,tp
svm_bal_acc_train1617_test1819 series_12,0.677,0.777,0.727,0.661,0.677,111,53,61,212
svm_bal_acc_train1617_test1819 series_13,0.677,0.813,0.745,0.681,0.677,111,53,51,222
svm_bal_acc_train1617_test1819 series_14,0.634,0.773,0.704,0.63,0.634,104,60,62,211
svm_bal_acc_train1617_test1819 series_15,0.72,0.802,0.761,0.702,0.72,118,46,54,219
svm_bal_acc_train1617_test1819 series_16,0.677,0.751,0.714,0.647,0.677,111,53,68,205
svm_bal_acc_train1617_test1819 series_17,0.695,0.777,0.736,0.673,0.695,114,50,61,212
svm_bal_acc_train1617_test1819 series_18,0.677,0.751,0.714,0.647,0.677,111,53,68,205
svm_bal_acc_train1617_test1819 series_19,0.689,0.769,0.729,0.665,0.689,113,51,63,210
svm_bal_acc_train1617_test1819 series_20,0.738,0.769,0.754,0.695,0.738,121,43,63,210
svm_bal_acc_train1617_test1819 series_21,0.677,0.758,0.718,0.651,0.677,111,53,66,207
svm_bal_acc_train1718_test1617 series_00,0.528,0.754,0.641,0.57,0.528,85,76,52,159
svm_bal_acc_train1718_test1617 series_01,0.584,0.758,0.671,0.614,0.584,94,67,51,160
svm_bal_acc_train1718_test1617 series_02,0.578,0.758,0.668,0.61,0.578,93,68,51,160
svm_bal_acc_train1718_test1617 series_03,0.596,0.768,0.682,0.627,0.596,96,65,49,162
svm_bal_acc_train1718_test1617 series_04,0.652,0.749,0.7,0.658,0.652,105,56,53,158
svm_bal_acc_train1718_test1617 series_05,0.602,0.744,0.673,0.622,0.602,97,64,54,157
svm_bal_acc_train1718_test1617 series_06,0.627,0.768,0.698,0.65,0.627,101,60,49,162
svm_bal_acc_train1718_test1617 series_07,0.658,0.763,0.711,0.669,0.658,106,55,50,161
svm_bal_acc_train1718_test1617 series_08,0.646,0.806,0.726,0.68,0.646,104,57,41,170
svm_bal_acc_train1718_test1617 series_09,0.596,0.791,0.694,0.638,0.596,96,65,44,167
svm_bal_acc_train1718_test1617 series_10,0.634,0.801,0.717,0.669,0.634,102,59,42,169
svm_bal_acc_train1718_test1617 series_11,0.646,0.749,0.697,0.654,0.646,104,57,53,158
svm_bal_acc_train1718_test1617 series_12,0.621,0.777,0.699,0.649,0.621,100,61,47,164
svm_bal_acc_train1718_test1617 series_13,0.615,0.763,0.689,0.639,0.615,99,62,50,161
svm_bal_acc_train1718_test1617 series_14,0.602,0.782,0.692,0.638,0.602,97,64,46,165
svm_bal_acc_train1718_test1617 series_15,0.516,0.82,0.668,0.589,0.516,83,78,38,173
svm_bal_acc_train1718_test1617 series_16,0.621,0.754,0.687,0.639,0.621,100,61,52,159
svm_bal_acc_train1718_test1617 series_17,0.615,0.791,0.703,0.651,0.615,99,62,44,167
svm_bal_acc_train1718_test1617 series_18,0.602,0.791,0.697,0.642,0.602,97,64,44,167
svm_bal_acc_train1718_test1617 series_19,0.64,0.773,0.706,0.66,0.64,103,58,48,163
svm_bal_acc_train1718_test1617 series_20,0.634,0.81,0.722,0.673,0.634,102,59,40,171
svm_bal_acc_train1718_test1617 series_21,0.64,0.768,0.704,0.658,0.64,103,58,49,162
svm_bal_acc_train1718_test1819 series_00,0.591,0.758,0.675,0.593,0.591,97,67,66,207
svm_bal_acc_train1718_test1819 series_01,0.707,0.806,0.757,0.697,0.707,116,48,53,220
svm_bal_acc_train1718_test1819 series_02,0.701,0.78,0.741,0.678,0.701,115,49,60,213
svm_bal_acc_train1718_test1819 series_03,0.671,0.755,0.713,0.645,0.671,110,54,67,206
svm_bal_acc_train1718_test1819 series_04,0.677,0.799,0.738,0.673,0.677,111,53,55,218
svm_bal_acc_train1718_test1819 series_05,0.652,0.784,0.718,0.648,0.652,107,57,59,214
svm_bal_acc_train1718_test1819 series_06,0.646,0.791,0.719,0.648,0.646,106,58,57,216
svm_bal_acc_train1718_test1819 series_07,0.652,0.773,0.713,0.643,0.652,107,57,62,211
svm_bal_acc_train1718_test1819 series_08,0.61,0.824,0.717,0.641,0.61,100,64,48,225
svm_bal_acc_train1718_test1819 series_09,0.567,0.824,0.696,0.61,0.567,93,71,48,225
svm_bal_acc_train1718_test1819 series_10,0.616,0.857,0.736,0.664,0.616,101,63,39,234
svm_bal_acc_train1718_test1819 series_11,0.677,0.839,0.758,0.696,0.677,111,53,44,229
svm_bal_acc_train1718_test1819 series_12,0.671,0.817,0.744,0.679,0.671,110,54,50,223
svm_bal_acc_train1718_test1819 series_13,0.671,0.806,0.738,0.673,0.671,110,54,53,220
svm_bal_acc_train1718_test1819 series_14,0.659,0.813,0.736,0.669,0.659,108,56,51,222
svm_bal_acc_train1718_test1819 series_15,0.652,0.806,0.729,0.66,0.652,107,57,53,220
svm_bal_acc_train1718_test1819 series_16,0.652,0.821,0.736,0.669,0.652,107,57,49,224
svm_bal_acc_train1718_test1819 series_17,0.665,0.806,0.735,0.669,0.665,109,55,53,220
svm_bal_acc_train1718_test1819 series_18,0.695,0.806,0.75,0.689,0.695,114,50,53,220
svm_bal_acc_train1718_test1819 series_19,0.701,0.817,0.759,0.699,0.701,115,49,50,223
svm_bal_acc_train1718_test1819 series_20,0.713,0.788,0.75,0.69,0.713,117,47,58,215
svm_bal_acc_train1718_test1819 series_21,0.695,0.806,0.75,0.689,0.695,114,50,53,220
svm_bal_acc_train1819_test1617 series_00,0.571,0.697,0.634,0.58,0.571,92,69,64,147
svm_bal_acc_train1819_test1617 series_01,0.553,0.735,0.644,0.582,0.553,89,72,56,155
svm_bal_acc_train1819_test1617 series_02,0.522,0.725,0.623,0.554,0.522,84,77,58,153
svm_bal_acc_train1819_test1617 series_03,0.565,0.692,0.629,0.574,0.565,91,70,65,146
svm_bal_acc_train1819_test1617 series_04,0.54,0.768,0.654,0.586,0.54,87,74,49,162
svm_bal_acc_train1819_test1617 series_05,0.602,0.735,0.669,0.618,0.602,97,64,56,155
svm_bal_acc_train1819_test1617 series_06,0.602,0.744,0.673,0.622,0.602,97,64,54,157
svm_bal_acc_train1819_test1617 series_07,0.615,0.763,0.689,0.639,0.615,99,62,50,161
svm_bal_acc_train1819_test1617 series_08,0.64,0.815,0.727,0.68,0.64,103,58,39,172
svm_bal_acc_train1819_test1617 series_09,0.615,0.782,0.698,0.647,0.615,99,62,46,165
svm_bal_acc_train1819_test1617 series_10,0.627,0.744,0.686,0.639,0.627,101,60,54,157
svm_bal_acc_train1819_test1617 series_11,0.714,0.744,0.729,0.697,0.714,115,46,54,157
svm_bal_acc_train1819_test1617 series_12,0.671,0.773,0.722,0.681,0.671,108,53,48,163
svm_bal_acc_train1819_test1617 series_13,0.671,0.758,0.715,0.675,0.671,108,53,51,160
svm_bal_acc_train1819_test1617 series_14,0.677,0.725,0.701,0.665,0.677,109,52,58,153
svm_bal_acc_train1819_test1617 series_15,0.429,0.81,0.619,0.511,0.429,69,92,40,171
svm_bal_acc_train1819_test1617 series_16,0.683,0.758,0.721,0.683,0.683,110,51,51,160
svm_bal_acc_train1819_test1617 series_17,0.634,0.796,0.715,0.667,0.634,102,59,43,168
svm_bal_acc_train1819_test1617 series_18,0.646,0.791,0.719,0.673,0.646,104,57,44,167
svm_bal_acc_train1819_test1617 series_19,0.646,0.801,0.723,0.678,0.646,104,57,42,169
svm_bal_acc_train1819_test1617 series_20,0.658,0.801,0.73,0.686,0.658,106,55,42,169
svm_bal_acc_train1819_test1617 series_21,0.702,0.777,0.74,0.704,0.702,113,48,47,164
