prediction,acc_failed,acc_passed,bal_acc,f1,recall,tn,fp,fn,tp
gd_bal_acc_all1718 series_16 part2,0.839,0.854,0.846,0.812,0.839,26,5,7,41
gd_bal_acc_all1718 series_16 part3,0.774,0.833,0.804,0.762,0.774,24,7,8,40
gd_bal_acc_all1718 series_16 part4,0.871,0.702,0.787,0.75,0.871,27,4,14,33
gd_bal_acc_all1718 series_16 part5,0.7,0.875,0.788,0.737,0.7,21,9,6,42
gd_bal_acc_all1718 series_16 MEAN,0.785,0.811,0.798,0.756,0.785,24.2,6.6,9.0,38.8
gd_bal_acc_all1718 series_17 part1,0.774,0.729,0.752,0.706,0.774,24,7,13,35
gd_bal_acc_all1718 series_17 part2,0.742,0.854,0.798,0.754,0.742,23,8,7,41
gd_bal_acc_all1718 series_17 part3,0.71,0.708,0.709,0.657,0.71,22,9,14,34
gd_bal_acc_all1718 series_17 part4,0.633,0.833,0.733,0.667,0.633,19,11,8,40
gd_bal_acc_all1718 series_17 part5,0.71,0.723,0.717,0.667,0.71,22,9,13,34
gd_bal_acc_all1718 series_17 MEAN,0.714,0.77,0.742,0.69,0.714,22.0,8.8,11.0,36.8
gd_bal_acc_all1718 series_18 part1,0.581,0.833,0.707,0.632,0.581,18,13,8,40
gd_bal_acc_all1718 series_18 part2,0.677,0.688,0.682,0.627,0.677,21,10,15,33
gd_bal_acc_all1718 series_18 part3,0.613,0.896,0.754,0.691,0.613,19,12,5,43
gd_bal_acc_all1718 series_18 part4,0.839,0.83,0.834,0.8,0.839,26,5,8,39
gd_bal_acc_all1718 series_18 part5,0.833,0.833,0.833,0.794,0.833,25,5,8,40
gd_bal_acc_all1718 series_18 MEAN,0.709,0.816,0.762,0.709,0.709,21.8,9.0,8.8,39.0
gd_bal_acc_all1718 series_19 part1,0.645,0.917,0.781,0.727,0.645,20,11,4,44
gd_bal_acc_all1718 series_19 part2,0.677,0.896,0.787,0.737,0.677,21,10,5,43
gd_bal_acc_all1718 series_19 part3,0.645,0.771,0.708,0.645,0.645,20,11,11,37
gd_bal_acc_all1718 series_19 part4,0.8,0.917,0.858,0.828,0.8,24,6,4,44
gd_bal_acc_all1718 series_19 part5,0.774,0.809,0.791,0.75,0.774,24,7,9,38
gd_bal_acc_all1718 series_19 MEAN,0.708,0.862,0.785,0.737,0.708,21.8,9.0,6.6,41.2
gd_bal_acc_all1718 series_20 part1,0.742,0.75,0.746,0.697,0.742,23,8,12,36
gd_bal_acc_all1718 series_20 part2,0.677,0.854,0.766,0.712,0.677,21,10,7,41
