0.689,0.802,0.746,0.682,0.689,22.6,10.2,10.8,43.8
0.636,0.873,0.755,0.689,0.636,21,12,7,48
0.606,0.909,0.758,0.69,0.606,20,13,5,50
0.75,0.764,0.757,0.696,0.75,24,8,13,42
0.697,0.889,0.793,0.742,0.697,23,10,6,48
0.697,0.685,0.691,0.63,0.697,23,10,17,37
0.677,0.824,0.751,0.689,0.677,22.2,10.6,9.6,45.0
0.758,0.745,0.752,0.694,0.758,25,8,14,41
0.758,0.836,0.797,0.746,0.758,25,8,9,46
0.688,0.945,0.816,0.772,0.688,22,10,3,52
0.788,0.833,0.811,0.765,0.788,26,7,9,45
0.848,0.87,0.859,0.824,0.848,28,5,7,47
0.768,0.846,0.807,0.76,0.768,25.2,7.6,8.4,46.2
0.606,0.782,0.694,0.615,0.606,20,13,12,43
0.727,0.782,0.755,0.696,0.727,24,9,12,43
0.844,0.836,0.84,0.794,0.844,27,5,9,46
0.576,0.852,0.714,0.633,0.576,19,14,8,46
0.727,0.815,0.771,0.716,0.727,24,9,10,44
0.696,0.813,0.755,0.691,0.696,22.8,10.0,10.2,44.4
0.788,0.8,0.794,0.743,0.788,26,7,11,44
