prediction,acc_failed,acc_passed,bal_acc,f1,recall,tn,fp,fn,tp
we_extractor_rf_bal_acc_train1819_test1718 series_00,0.261,0.87,0.565,0.367,0.261,29,82,18,120
we_extractor_rf_bal_acc_train1819_test1718 series_01,0.324,0.906,0.615,0.45,0.324,36,75,13,125
we_extractor_rf_bal_acc_train1819_test1718 series_02,0.342,0.891,0.617,0.463,0.342,38,73,15,123
we_extractor_rf_bal_acc_train1819_test1718 series_03,0.396,0.891,0.644,0.518,0.396,44,67,15,123
we_extractor_rf_bal_acc_train1819_test1718 series_04,0.315,0.957,0.636,0.461,0.315,35,76,6,132
we_extractor_rf_bal_acc_train1819_test1718 series_05,0.459,0.92,0.69,0.59,0.459,51,60,11,127
we_extractor_rf_bal_acc_train1819_test1718 series_06,0.486,0.92,0.703,0.614,0.486,54,57,11,127
we_extractor_rf_bal_acc_train1819_test1718 series_07,0.396,0.964,0.68,0.55,0.396,44,67,5,133
we_extractor_rf_bal_acc_train1819_test1718 series_08,0.45,0.964,0.707,0.602,0.45,50,61,5,133
we_extractor_rf_bal_acc_train1819_test1718 series_09,0.423,0.986,0.704,0.587,0.423,47,64,2,136
we_extractor_rf_bal_acc_train1819_test1718 series_10,0.324,0.993,0.659,0.486,0.324,36,75,1,137
we_extractor_rf_bal_acc_train1819_test1718 series_11,0.423,0.993,0.708,0.591,0.423,47,64,1,137
we_extractor_rf_bal_acc_all1617 series_01 part1,0.567,0.657,0.612,0.576,0.567,17,13,12,23
we_extractor_rf_bal_acc_all1617 series_01 part2,0.613,0.824,0.718,0.679,0.613,19,12,6,28
we_extractor_rf_bal_acc_all1617 series_01 part3,0.667,0.735,0.701,0.678,0.667,20,10,9,25
we_extractor_rf_bal_acc_all1617 series_01 part4,0.633,0.618,0.625,0.613,0.633,19,11,13,21
we_extractor_rf_bal_acc_all1617 series_01 part5,0.633,0.941,0.787,0.745,0.633,19,11,2,32
we_extractor_rf_bal_acc_all1617 series_01 MEAN,0.623,0.755,0.689,0.658,0.623,18.8,11.4,8.4,25.8
we_extractor_rf_bal_acc_all1617 series_02 part1,0.667,0.714,0.69,0.667,0.667,20,10,10,25
we_extractor_rf_bal_acc_all1617 series_02 part2,0.903,0.559,0.731,0.757,0.903,28,3,15,19
we_extractor_rf_bal_acc_all1617 series_02 part3,0.667,0.853,0.76,0.727,0.667,20,10,5,29
we_extractor_rf_bal_acc_all1617 series_02 part4,0.6,0.853,0.726,0.679,0.6,18,12,5,29
we_extractor_rf_bal_acc_all1617 series_02 part5,0.733,0.765,0.749,0.733,0.733,22,8,8,26
we_extractor_rf_bal_acc_all1617 series_02 MEAN,0.714,0.749,0.731,0.713,0.714,21.6,8.6,8.6,25.6
we_extractor_rf_bal_acc_all1617 series_03 part1,0.8,0.829,0.814,0.8,0.8,24,6,6,29
we_extractor_rf_bal_acc_all1617 series_03 part2,0.774,0.794,0.784,0.774,0.774,24,7,7,27
we_extractor_rf_bal_acc_all1617 series_03 part3,0.733,0.824,0.778,0.759,0.733,22,8,6,28
we_extractor_rf_bal_acc_all1617 series_03 part4,0.6,0.794,0.697,0.655,0.6,18,12,7,27
we_extractor_rf_bal_acc_all1617 series_03 part5,0.6,0.794,0.697,0.655,0.6,18,12,7,27
we_extractor_rf_bal_acc_all1617 series_03 MEAN,0.702,0.807,0.754,0.728,0.702,21.2,9.0,6.6,27.6
we_extractor_rf_bal_acc_all1617 series_04 part1,0.733,0.857,0.795,0.772,0.733,22,8,5,30
we_extractor_rf_bal_acc_all1617 series_04 part2,0.71,0.765,0.737,0.721,0.71,22,9,8,26
we_extractor_rf_bal_acc_all1617 series_04 part3,0.5,0.824,0.662,0.588,0.5,15,15,6,28
we_extractor_rf_bal_acc_all1617 series_04 part4,0.733,0.706,0.72,0.71,0.733,22,8,10,24
we_extractor_rf_bal_acc_all1617 series_04 part5,0.8,0.853,0.826,0.814,0.8,24,6,5,29
we_extractor_rf_bal_acc_all1617 series_04 MEAN,0.695,0.801,0.748,0.721,0.695,21.0,9.2,6.8,27.4
we_extractor_rf_bal_acc_all1617 series_05 part1,0.733,0.8,0.767,0.746,0.733,22,8,7,28
we_extractor_rf_bal_acc_all1617 series_05 part2,0.774,0.824,0.799,0.787,0.774,24,7,6,28
we_extractor_rf_bal_acc_all1617 series_05 part3,0.8,0.765,0.782,0.774,0.8,24,6,8,26
we_extractor_rf_bal_acc_all1617 series_05 part4,0.667,0.824,0.745,0.714,0.667,20,10,6,28
we_extractor_rf_bal_acc_all1617 series_05 part5,0.733,0.765,0.749,0.733,0.733,22,8,8,26
we_extractor_rf_bal_acc_all1617 series_05 MEAN,0.742,0.795,0.768,0.751,0.742,22.4,7.8,7.0,27.2
we_extractor_rf_bal_acc_all1617 series_06 part1,0.7,0.914,0.807,0.778,0.7,21,9,3,32
we_extractor_rf_bal_acc_all1617 series_06 part2,0.774,0.794,0.784,0.774,0.774,24,7,7,27
we_extractor_rf_bal_acc_all1617 series_06 part3,0.767,0.882,0.825,0.807,0.767,23,7,4,30
we_extractor_rf_bal_acc_all1617 series_06 part4,0.867,0.853,0.86,0.852,0.867,26,4,5,29
we_extractor_rf_bal_acc_all1617 series_06 part5,0.767,0.882,0.825,0.807,0.767,23,7,4,30
we_extractor_rf_bal_acc_all1617 series_06 MEAN,0.775,0.865,0.82,0.804,0.775,23.4,6.8,4.6,29.6
we_extractor_rf_bal_acc_all1617 series_07 part1,0.833,0.829,0.831,0.82,0.833,25,5,6,29
we_extractor_rf_bal_acc_all1617 series_07 part2,0.839,0.853,0.846,0.839,0.839,26,5,5,29
we_extractor_rf_bal_acc_all1617 series_07 part3,0.667,0.941,0.804,0.769,0.667,20,10,2,32
we_extractor_rf_bal_acc_all1617 series_07 part4,0.733,0.912,0.823,0.8,0.733,22,8,3,31
we_extractor_rf_bal_acc_all1617 series_07 part5,0.833,0.765,0.799,0.794,0.833,25,5,8,26
we_extractor_rf_bal_acc_all1617 series_07 MEAN,0.781,0.86,0.82,0.804,0.781,23.6,6.6,4.8,29.4
we_extractor_rf_bal_acc_all1617 series_08 part1,0.742,0.912,0.827,0.807,0.742,23,8,3,31
we_extractor_rf_bal_acc_all1617 series_08 part2,0.8,0.829,0.814,0.8,0.8,24,6,6,29
we_extractor_rf_bal_acc_all1617 series_08 part3,0.8,0.853,0.826,0.814,0.8,24,6,5,29
we_extractor_rf_bal_acc_all1617 series_08 part4,0.767,0.853,0.81,0.793,0.767,23,7,5,29
we_extractor_rf_bal_acc_all1617 series_08 part5,0.733,0.912,0.823,0.8,0.733,22,8,3,31
we_extractor_rf_bal_acc_all1617 series_08 MEAN,0.768,0.872,0.82,0.803,0.768,23.2,7.0,4.4,29.8
we_extractor_rf_bal_acc_all1617 series_09 part1,0.6,0.886,0.743,0.692,0.6,18,12,4,31
we_extractor_rf_bal_acc_all1617 series_09 part2,0.806,0.853,0.83,0.82,0.806,25,6,5,29
we_extractor_rf_bal_acc_all1617 series_09 part3,0.767,0.794,0.78,0.767,0.767,23,7,7,27
we_extractor_rf_bal_acc_all1617 series_09 part4,0.8,0.941,0.871,0.857,0.8,24,6,2,32
we_extractor_rf_bal_acc_all1617 series_09 part5,0.833,0.794,0.814,0.806,0.833,25,5,7,27
we_extractor_rf_bal_acc_all1617 series_09 MEAN,0.761,0.854,0.807,0.788,0.761,23.0,7.2,5.0,29.2
we_extractor_rf_bal_acc_all1617 series_10 part1,0.7,0.886,0.793,0.764,0.7,21,9,4,31
we_extractor_rf_bal_acc_all1617 series_10 part2,0.839,0.882,0.861,0.852,0.839,26,5,4,30
we_extractor_rf_bal_acc_all1617 series_10 part3,0.767,0.912,0.839,0.821,0.767,23,7,3,31
we_extractor_rf_bal_acc_all1617 series_10 part4,0.833,0.912,0.873,0.862,0.833,25,5,3,31
we_extractor_rf_bal_acc_all1617 series_10 part5,0.733,0.853,0.793,0.772,0.733,22,8,5,29
we_extractor_rf_bal_acc_all1617 series_10 MEAN,0.774,0.889,0.832,0.814,0.774,23.4,6.8,3.8,30.4
we_extractor_rf_bal_acc_all1617 series_11 part1,0.767,0.886,0.826,0.807,0.767,23,7,4,31
we_extractor_rf_bal_acc_all1617 series_11 part2,0.645,0.882,0.764,0.727,0.645,20,11,4,30
we_extractor_rf_bal_acc_all1617 series_11 part3,0.6,0.971,0.785,0.735,0.6,18,12,1,33
we_extractor_rf_bal_acc_all1617 series_11 part4,0.8,0.853,0.826,0.814,0.8,24,6,5,29
we_extractor_rf_bal_acc_all1617 series_11 part5,0.9,0.824,0.862,0.857,0.9,27,3,6,28
we_extractor_rf_bal_acc_all1617 series_11 MEAN,0.742,0.883,0.813,0.788,0.742,22.4,7.8,4.0,30.2
we_extractor_rf_bal_acc_all1617 series_12 part1,0.733,0.943,0.838,0.815,0.733,22,8,2,33
we_extractor_rf_bal_acc_all1617 series_12 part2,0.774,0.912,0.843,0.828,0.774,24,7,3,31
we_extractor_rf_bal_acc_all1617 series_12 part3,0.733,0.941,0.837,0.815,0.733,22,8,2,32
we_extractor_rf_bal_acc_all1617 series_12 part4,0.867,0.882,0.875,0.867,0.867,26,4,4,30
we_extractor_rf_bal_acc_all1617 series_12 part5,0.7,0.853,0.776,0.75,0.7,21,9,5,29
we_extractor_rf_bal_acc_all1617 series_12 MEAN,0.762,0.906,0.834,0.815,0.762,23.0,7.2,3.2,31.0
we_extractor_rf_bal_acc_all1718 series_01 part1,0.609,0.778,0.693,0.651,0.609,14,9,6,21
we_extractor_rf_bal_acc_all1718 series_01 part2,0.636,0.75,0.693,0.651,0.636,14,8,7,21
we_extractor_rf_bal_acc_all1718 series_01 part3,0.455,0.714,0.584,0.5,0.455,10,12,8,20
we_extractor_rf_bal_acc_all1718 series_01 part4,0.273,0.786,0.529,0.353,0.273,6,16,6,22
we_extractor_rf_bal_acc_all1718 series_01 part5,0.364,0.815,0.589,0.457,0.364,8,14,5,22
we_extractor_rf_bal_acc_all1718 series_01 MEAN,0.467,0.769,0.618,0.522,0.467,10.4,11.8,6.4,21.2
we_extractor_rf_bal_acc_all1718 series_02 part1,0.5,0.786,0.643,0.564,0.5,11,11,6,22
we_extractor_rf_bal_acc_all1718 series_02 part2,0.545,0.893,0.719,0.649,0.545,12,10,3,25
we_extractor_rf_bal_acc_all1718 series_02 part3,0.545,0.75,0.648,0.585,0.545,12,10,7,21
we_extractor_rf_bal_acc_all1718 series_02 part4,0.565,0.815,0.69,0.634,0.565,13,10,5,22
we_extractor_rf_bal_acc_all1718 series_02 part5,0.5,0.667,0.583,0.524,0.5,11,11,9,18
we_extractor_rf_bal_acc_all1718 series_02 MEAN,0.531,0.782,0.657,0.591,0.531,11.8,10.4,6.0,21.6
we_extractor_rf_bal_acc_all1718 series_03 part1,0.455,0.821,0.638,0.541,0.455,10,12,5,23
we_extractor_rf_bal_acc_all1718 series_03 part2,0.591,0.75,0.67,0.619,0.591,13,9,7,21
we_extractor_rf_bal_acc_all1718 series_03 part3,0.5,0.786,0.643,0.564,0.5,11,11,6,22
we_extractor_rf_bal_acc_all1718 series_03 part4,0.565,0.741,0.653,0.605,0.565,13,10,7,20
we_extractor_rf_bal_acc_all1718 series_03 part5,0.545,0.704,0.625,0.571,0.545,12,10,8,19
we_extractor_rf_bal_acc_all1718 series_03 MEAN,0.531,0.76,0.646,0.58,0.531,11.8,10.4,6.6,21.0
we_extractor_rf_bal_acc_all1718 series_04 part1,0.682,0.643,0.662,0.638,0.682,15,7,10,18
we_extractor_rf_bal_acc_all1718 series_04 part2,0.545,0.857,0.701,0.632,0.545,12,10,4,24
