prediction,acc_failed,acc_passed,bal_acc,f1,recall,tn,fp,fn,tp
we_extractor_lg_bal_acc_train1617_test1718 series_07,0.766,0.79,0.778,0.756,0.766,85,26,29,109
we_extractor_lg_bal_acc_train1617_test1718 series_08,0.784,0.761,0.772,0.753,0.784,87,24,33,105
we_extractor_lg_bal_acc_train1617_test1718 series_09,0.802,0.739,0.77,0.754,0.802,89,22,36,102
we_extractor_lg_bal_acc_train1617_test1718 series_10,0.784,0.739,0.761,0.744,0.784,87,24,36,102
we_extractor_lg_bal_acc_train1617_test1718 series_11,0.829,0.812,0.82,0.803,0.829,92,19,26,112
we_extractor_lg_bal_acc_train1617_test1819 series_00,0.589,0.65,0.619,0.525,0.589,63,44,70,130
we_extractor_lg_bal_acc_train1617_test1819 series_01,0.766,0.56,0.663,0.592,0.766,82,25,88,112
we_extractor_lg_bal_acc_train1617_test1819 series_02,0.794,0.61,0.702,0.63,0.794,85,22,78,122
we_extractor_lg_bal_acc_train1617_test1819 series_03,0.729,0.645,0.687,0.609,0.729,78,29,71,129
we_extractor_lg_bal_acc_train1617_test1819 series_04,0.729,0.695,0.712,0.634,0.729,78,29,61,139
we_extractor_lg_bal_acc_train1617_test1819 series_05,0.766,0.72,0.743,0.669,0.766,82,25,56,144
we_extractor_lg_bal_acc_train1617_test1819 series_06,0.776,0.685,0.73,0.656,0.776,83,24,63,137
we_extractor_lg_bal_acc_train1617_test1819 series_07,0.813,0.715,0.764,0.693,0.813,87,20,57,143
we_extractor_lg_bal_acc_train1617_test1819 series_08,0.785,0.735,0.76,0.689,0.785,84,23,53,147
we_extractor_lg_bal_acc_train1617_test1819 series_09,0.785,0.8,0.793,0.727,0.785,84,23,40,160
we_extractor_lg_bal_acc_train1617_test1819 series_10,0.785,0.765,0.775,0.706,0.785,84,23,47,153
we_extractor_lg_bal_acc_train1617_test1819 series_11,0.822,0.745,0.784,0.715,0.822,88,19,51,149
we_extractor_lg_bal_acc_train1718_test1617 series_00,0.682,0.731,0.707,0.687,0.682,103,48,46,125
we_extractor_lg_bal_acc_train1718_test1617 series_01,0.629,0.772,0.701,0.667,0.629,95,56,39,132
we_extractor_lg_bal_acc_train1718_test1617 series_02,0.636,0.76,0.698,0.667,0.636,96,55,41,130
we_extractor_lg_bal_acc_train1718_test1617 series_03,0.841,0.702,0.771,0.772,0.841,127,24,51,120
we_extractor_lg_bal_acc_train1718_test1617 series_04,0.762,0.731,0.746,0.737,0.762,115,36,46,125
we_extractor_lg_bal_acc_train1718_test1617 series_05,0.768,0.848,0.808,0.792,0.768,116,35,26,145
we_extractor_lg_bal_acc_train1718_test1617 series_06,0.762,0.86,0.811,0.793,0.762,115,36,24,147
we_extractor_lg_bal_acc_train1718_test1617 series_07,0.755,0.865,0.81,0.792,0.755,114,37,23,148
we_extractor_lg_bal_acc_train1718_test1617 series_08,0.788,0.854,0.821,0.807,0.788,119,32,25,146
we_extractor_lg_bal_acc_train1718_test1617 series_09,0.755,0.854,0.804,0.786,0.755,114,37,25,146
we_extractor_lg_bal_acc_train1718_test1617 series_10,0.762,0.877,0.819,0.801,0.762,115,36,21,150
we_extractor_lg_bal_acc_train1718_test1617 series_11,0.762,0.924,0.843,0.824,0.762,115,36,13,158
we_extractor_lg_bal_acc_train1718_test1819 series_00,0.589,0.68,0.634,0.538,0.589,63,44,64,136
we_extractor_lg_bal_acc_train1718_test1819 series_01,0.645,0.685,0.665,0.577,0.645,69,38,63,137
we_extractor_lg_bal_acc_train1718_test1819 series_02,0.766,0.56,0.663,0.592,0.766,82,25,88,112
we_extractor_lg_bal_acc_train1718_test1819 series_03,0.729,0.655,0.692,0.614,0.729,78,29,69,131
we_extractor_lg_bal_acc_train1718_test1819 series_04,0.664,0.69,0.677,0.592,0.664,71,36,62,138
we_extractor_lg_bal_acc_train1718_test1819 series_05,0.738,0.68,0.709,0.632,0.738,79,28,64,136
we_extractor_lg_bal_acc_train1718_test1819 series_06,0.71,0.725,0.718,0.639,0.71,76,31,55,145
we_extractor_lg_bal_acc_train1718_test1819 series_07,0.664,0.66,0.662,0.577,0.664,71,36,68,132
we_extractor_lg_bal_acc_train1718_test1819 series_08,0.692,0.735,0.713,0.632,0.692,74,33,53,147
we_extractor_lg_bal_acc_train1718_test1819 series_09,0.673,0.765,0.719,0.637,0.673,72,35,47,153
we_extractor_lg_bal_acc_train1718_test1819 series_10,0.701,0.755,0.728,0.649,0.701,75,32,49,151
we_extractor_lg_bal_acc_train1718_test1819 series_11,0.682,0.71,0.696,0.613,0.682,73,34,58,142
we_extractor_lg_bal_acc_train1819_test1617 series_00,0.384,0.807,0.596,0.479,0.384,58,93,33,138
we_extractor_lg_bal_acc_train1819_test1617 series_01,0.576,0.772,0.674,0.628,0.576,87,64,39,132
we_extractor_lg_bal_acc_train1819_test1617 series_02,0.55,0.819,0.684,0.626,0.55,83,68,31,140
