prediction,acc_failed,acc_passed,bal_acc,f1,recall,tn,fp,fn,tp
fea_extractor_lg_bal_acc_all1617 series_08 part2,0.8,0.886,0.843,0.828,0.8,24,6,4,31
fea_extractor_lg_bal_acc_all1617 series_08 part3,0.833,0.912,0.873,0.862,0.833,25,5,3,31
fea_extractor_lg_bal_acc_all1617 series_08 part4,0.8,0.824,0.812,0.8,0.8,24,6,6,28
fea_extractor_lg_bal_acc_all1617 series_08 part5,0.767,0.912,0.839,0.821,0.767,23,7,3,31
fea_extractor_lg_bal_acc_all1617 series_08 MEAN,0.801,0.865,0.833,0.821,0.801,24.2,6.0,4.6,29.6
fea_extractor_lg_bal_acc_all1617 series_09 part1,0.7,0.971,0.836,0.808,0.7,21,9,1,34
fea_extractor_lg_bal_acc_all1617 series_09 part2,0.774,0.882,0.828,0.814,0.774,24,7,4,30
fea_extractor_lg_bal_acc_all1617 series_09 part3,0.767,0.912,0.839,0.821,0.767,23,7,3,31
fea_extractor_lg_bal_acc_all1617 series_09 part4,0.8,0.824,0.812,0.8,0.8,24,6,6,28
fea_extractor_lg_bal_acc_all1617 series_09 part5,0.733,0.882,0.808,0.786,0.733,22,8,4,30
fea_extractor_lg_bal_acc_all1617 series_09 MEAN,0.755,0.894,0.825,0.806,0.755,22.8,7.4,3.6,30.6
fea_extractor_lg_bal_acc_all1617 series_10 part1,0.667,0.857,0.762,0.727,0.667,20,10,5,30
fea_extractor_lg_bal_acc_all1617 series_10 part2,0.806,0.941,0.874,0.862,0.806,25,6,2,32
fea_extractor_lg_bal_acc_all1617 series_10 part3,0.8,0.853,0.826,0.814,0.8,24,6,5,29
fea_extractor_lg_bal_acc_all1617 series_10 part4,0.833,0.794,0.814,0.806,0.833,25,5,7,27
fea_extractor_lg_bal_acc_all1617 series_10 part5,0.7,0.941,0.821,0.792,0.7,21,9,2,32
fea_extractor_lg_bal_acc_all1617 series_10 MEAN,0.761,0.877,0.819,0.8,0.761,23.0,7.2,4.2,30.0
fea_extractor_lg_bal_acc_all1617 series_11 part1,0.767,0.971,0.869,0.852,0.767,23,7,1,34
fea_extractor_lg_bal_acc_all1617 series_11 part2,0.677,0.882,0.78,0.75,0.677,21,10,4,30
fea_extractor_lg_bal_acc_all1617 series_11 part3,0.633,0.853,0.743,0.704,0.633,19,11,5,29
fea_extractor_lg_bal_acc_all1617 series_11 part4,0.867,0.853,0.86,0.852,0.867,26,4,5,29
fea_extractor_lg_bal_acc_all1617 series_11 part5,0.8,0.941,0.871,0.857,0.8,24,6,2,32
fea_extractor_lg_bal_acc_all1617 series_11 MEAN,0.749,0.9,0.824,0.803,0.749,22.6,7.6,3.4,30.8
fea_extractor_lg_bal_acc_all1617 series_12 part1,0.733,0.886,0.81,0.786,0.733,22,8,4,31
fea_extractor_lg_bal_acc_all1617 series_12 part2,0.839,0.971,0.905,0.897,0.839,26,5,1,33
fea_extractor_lg_bal_acc_all1617 series_12 part3,0.7,0.941,0.821,0.792,0.7,21,9,2,32
fea_extractor_lg_bal_acc_all1617 series_12 part4,0.8,0.853,0.826,0.814,0.8,24,6,5,29
fea_extractor_lg_bal_acc_all1617 series_12 part5,0.8,0.912,0.856,0.842,0.8,24,6,3,31
fea_extractor_lg_bal_acc_all1617 series_12 MEAN,0.774,0.912,0.843,0.826,0.774,23.4,6.8,3.0,31.2
fea_extractor_lg_bal_acc_all1718 series_01 part1,0.739,0.481,0.61,0.63,0.739,17,6,14,13
fea_extractor_lg_bal_acc_all1718 series_01 part2,0.682,0.679,0.68,0.652,0.682,15,7,9,19
fea_extractor_lg_bal_acc_all1718 series_01 part3,0.455,0.607,0.531,0.465,0.455,10,12,11,17
fea_extractor_lg_bal_acc_all1718 series_01 part4,0.409,0.786,0.597,0.486,0.409,9,13,6,22
fea_extractor_lg_bal_acc_all1718 series_01 part5,0.545,0.519,0.532,0.511,0.545,12,10,13,14
fea_extractor_lg_bal_acc_all1718 series_01 MEAN,0.566,0.614,0.59,0.549,0.566,12.6,9.6,10.6,17.0
fea_extractor_lg_bal_acc_all1718 series_02 part1,0.727,0.357,0.542,0.571,0.727,16,6,18,10
fea_extractor_lg_bal_acc_all1718 series_02 part2,0.591,0.786,0.688,0.634,0.591,13,9,6,22
fea_extractor_lg_bal_acc_all1718 series_02 part3,0.727,0.714,0.721,0.696,0.727,16,6,8,20
fea_extractor_lg_bal_acc_all1718 series_02 part4,0.609,0.556,0.582,0.571,0.609,14,9,12,15
fea_extractor_lg_bal_acc_all1718 series_02 part5,0.727,0.593,0.66,0.653,0.727,16,6,11,16
fea_extractor_lg_bal_acc_all1718 series_02 MEAN,0.676,0.601,0.639,0.625,0.676,15.0,7.2,11.0,16.6
fea_extractor_lg_bal_acc_all1718 series_03 part1,0.545,0.679,0.612,0.558,0.545,12,10,9,19
fea_extractor_lg_bal_acc_all1718 series_03 part2,0.636,0.607,0.622,0.596,0.636,14,8,11,17
fea_extractor_lg_bal_acc_all1718 series_03 part3,0.682,0.607,0.644,0.625,0.682,15,7,11,17
fea_extractor_lg_bal_acc_all1718 series_03 part4,0.609,0.593,0.601,0.583,0.609,14,9,11,16
fea_extractor_lg_bal_acc_all1718 series_03 part5,0.545,0.444,0.495,0.49,0.545,12,10,15,12
fea_extractor_lg_bal_acc_all1718 series_03 MEAN,0.604,0.586,0.595,0.57,0.604,13.4,8.8,11.4,16.2
fea_extractor_lg_bal_acc_all1718 series_04 part1,0.773,0.5,0.636,0.642,0.773,17,5,14,14
fea_extractor_lg_bal_acc_all1718 series_04 part2,0.591,0.607,0.599,0.565,0.591,13,9,11,17
fea_extractor_lg_bal_acc_all1718 series_04 part3,0.636,0.571,0.604,0.583,0.636,14,8,12,16
fea_extractor_lg_bal_acc_all1718 series_04 part4,0.739,0.556,0.647,0.654,0.739,17,6,12,15
fea_extractor_lg_bal_acc_all1718 series_04 part5,0.5,0.778,0.639,0.564,0.5,11,11,6,21
fea_extractor_lg_bal_acc_all1718 series_04 MEAN,0.648,0.602,0.625,0.602,0.648,14.4,7.8,11.0,16.6
fea_extractor_lg_bal_acc_all1718 series_05 part1,0.545,0.75,0.648,0.585,0.545,12,10,7,21
fea_extractor_lg_bal_acc_all1718 series_05 part2,0.591,0.857,0.724,0.667,0.591,13,9,4,24
fea_extractor_lg_bal_acc_all1718 series_05 part3,0.318,0.714,0.516,0.378,0.318,7,15,8,20
fea_extractor_lg_bal_acc_all1718 series_05 part4,0.522,0.815,0.668,0.6,0.522,12,11,5,22
fea_extractor_lg_bal_acc_all1718 series_05 part5,0.455,0.667,0.561,0.488,0.455,10,12,9,18
fea_extractor_lg_bal_acc_all1718 series_05 MEAN,0.486,0.761,0.623,0.544,0.486,10.8,11.4,6.6,21.0
fea_extractor_lg_bal_acc_all1718 series_06 part1,0.864,0.857,0.86,0.844,0.864,19,3,4,24
fea_extractor_lg_bal_acc_all1718 series_06 part2,0.682,0.679,0.68,0.652,0.682,15,7,9,19
fea_extractor_lg_bal_acc_all1718 series_06 part3,0.818,0.786,0.802,0.783,0.818,18,4,6,22
fea_extractor_lg_bal_acc_all1718 series_06 part4,0.696,0.778,0.737,0.711,0.696,16,7,6,21
fea_extractor_lg_bal_acc_all1718 series_06 part5,0.636,0.815,0.726,0.683,0.636,14,8,5,22
fea_extractor_lg_bal_acc_all1718 series_06 MEAN,0.739,0.783,0.761,0.735,0.739,16.4,5.8,6.0,21.6
fea_extractor_lg_bal_acc_all1718 series_07 part1,0.696,0.63,0.663,0.653,0.696,16,7,10,17
fea_extractor_lg_bal_acc_all1718 series_07 part2,0.727,0.821,0.774,0.744,0.727,16,6,5,23
fea_extractor_lg_bal_acc_all1718 series_07 part3,0.591,0.893,0.742,0.684,0.591,13,9,3,25
fea_extractor_lg_bal_acc_all1718 series_07 part4,0.864,0.893,0.878,0.864,0.864,19,3,3,25
fea_extractor_lg_bal_acc_all1718 series_07 part5,0.591,0.815,0.703,0.65,0.591,13,9,5,22
fea_extractor_lg_bal_acc_all1718 series_07 MEAN,0.694,0.81,0.752,0.719,0.694,15.4,6.8,5.2,22.4
fea_extractor_lg_bal_acc_all1718 series_08 part1,0.636,0.893,0.765,0.718,0.636,14,8,3,25
fea_extractor_lg_bal_acc_all1718 series_08 part2,0.682,0.857,0.769,0.732,0.682,15,7,4,24
fea_extractor_lg_bal_acc_all1718 series_08 part3,0.773,0.893,0.833,0.81,0.773,17,5,3,25
fea_extractor_lg_bal_acc_all1718 series_08 part4,0.609,0.815,0.712,0.667,0.609,14,9,5,22
fea_extractor_lg_bal_acc_all1718 series_08 part5,0.682,0.778,0.73,0.698,0.682,15,7,6,21
fea_extractor_lg_bal_acc_all1718 series_08 MEAN,0.676,0.847,0.762,0.725,0.676,15.0,7.2,4.2,23.4
fea_extractor_lg_bal_acc_all1718 series_09 part1,0.909,0.75,0.83,0.816,0.909,20,2,7,21
fea_extractor_lg_bal_acc_all1718 series_09 part2,0.727,0.857,0.792,0.762,0.727,16,6,4,24
fea_extractor_lg_bal_acc_all1718 series_09 part3,0.636,0.821,0.729,0.683,0.636,14,8,5,23
fea_extractor_lg_bal_acc_all1718 series_09 part4,0.652,0.704,0.678,0.652,0.652,15,8,8,19
fea_extractor_lg_bal_acc_all1718 series_09 part5,0.682,0.852,0.767,0.732,0.682,15,7,4,23
fea_extractor_lg_bal_acc_all1718 series_09 MEAN,0.721,0.797,0.759,0.729,0.721,16.0,6.2,5.6,22.0
fea_extractor_lg_bal_acc_all1718 series_10 part1,0.682,0.821,0.752,0.714,0.682,15,7,5,23
fea_extractor_lg_bal_acc_all1718 series_10 part2,0.864,0.821,0.843,0.826,0.864,19,3,5,23
fea_extractor_lg_bal_acc_all1718 series_10 part3,0.682,0.893,0.787,0.75,0.682,15,7,3,25
fea_extractor_lg_bal_acc_all1718 series_10 part4,0.565,0.815,0.69,0.634,0.565,13,10,5,22
fea_extractor_lg_bal_acc_all1718 series_10 part5,0.864,0.667,0.765,0.76,0.864,19,3,9,18
fea_extractor_lg_bal_acc_all1718 series_10 MEAN,0.731,0.803,0.767,0.737,0.731,16.2,6.0,5.4,22.2
fea_extractor_lg_bal_acc_all1718 series_11 part1,0.591,0.893,0.742,0.684,0.591,13,9,3,25
fea_extractor_lg_bal_acc_all1718 series_11 part2,0.818,0.75,0.784,0.766,0.818,18,4,7,21
fea_extractor_lg_bal_acc_all1718 series_11 part3,0.727,0.893,0.81,0.78,0.727,16,6,3,25
fea_extractor_lg_bal_acc_all1718 series_11 part4,0.739,0.815,0.777,0.756,0.739,17,6,5,22
